0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198026066410/mmr?playlist=10
4.61,8.26,3.13,69,55.8%,1.47,6061,2092,1912,1066,6498,https://rocketleague.tracker.network/rocket-league/profile/epic/QuietWolf736/mmr?playlist=10
7.00,11.50,2.00,6,60.9%,3.50,27001,10316,11876,4975,16659,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198303819016/mmr?playlist=10
4.00,6.90,3.30,30,58.0%,1.21,20788,7224,6104,2908,19134,https://rocketleague.tracker.network/rocket-league/profile/psn/nathanisblind/mmr?playlist=10
4.00,10.00,2.00,3,40.0%,2.00,2649,839,631,329,2085,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198053157551/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Assorrted-_-/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198345963459/mmr?playlist=10
5.00,10.00,4.40,15,50.0%,1.14,15563,6885,6782,3009,14599,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198260271861/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Faze_Ginosaurus/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ixFa6mh/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198319783626/mmr?playlist=10
7.50,15.10,4.90,30,49.7%,1.53,16920,6508,5740,3791,12284,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199024992957/mmr?playlist=10
5.44,9.44,4.11,27,57.6%,1.32,16515,5923,6358,2856,13887,https://rocketleague.tracker.network/rocket-league/profile/epic/Yzahc./mmr?playlist=10
3.27,5.47,3.07,45,59.8%,1.07,13127,4094,3101,2473,12484,https://rocketleague.tracker.network/rocket-league/profile/epic/Baumstumpf008/mmr?playlist=10
4.25,7.21,2.43,168,58.9%,1.75,6061,2092,1912,1066,6498,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198832039003/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198398048550/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/I%20Pearl%20I/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Flip12gaming/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/DoughDJ/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199028009061/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198322433152/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/CloakedVL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/zhsif./mmr?playlist=10
3.00,4.67,1.33,9,64.3%,2.25,11946,4676,3917,2142,8976,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198863238762/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/KingWalsh420/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198279789326/mmr?playlist=10
5.73,11.45,3.64,33,50.0%,1.57,10718,5262,5549,2170,8226,https://rocketleague.tracker.network/rocket-league/profile/psn/Slide22_RL/mmr?playlist=10
5.02,8.32,3.29,123,60.4%,1.53,13359,4059,3753,1649,13069,https://rocketleague.tracker.network/rocket-league/profile/epic/clark%2074/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199045305323/mmr?playlist=10
10.20,19.10,6.50,30,53.4%,1.57,9803,3184,2655,1320,4753,https://rocketleague.tracker.network/rocket-league/profile/epic/BitingKhan%20on%20yt/mmr?playlist=10
4.43,6.43,4.86,21,68.9%,0.91,13887,4881,4179,2592,14381,https://rocketleague.tracker.network/rocket-league/profile/psn/flip12gaming/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Lelantos_4732/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/JeixR/mmr?playlist=10
