0,1,2,3,4,5,6,7,8,9,10,11
5.47,10.20,3.73,45,53.6%,1.46,20775,6531,6214,2901,19733,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198133730377/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Gawfs/mmr?playlist=10
6.20,10.20,4.00,15,60.8%,1.55,25062,8716,10076,3637,26159,https://rocketleague.tracker.network/rocket-league/profile/epic/Gawfs/mmr?playlist=10
5.25,9.88,4.75,24,53.2%,1.11,34817,10085,10517,4317,29223,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198294626987/mmr?playlist=10
4.61,7.70,5.13,69,59.9%,0.90,13808,5701,5645,1672,11171,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198073567445/mmr?playlist=10
4.86,8.29,2.43,21,58.6%,2.00,4290,1362,1508,706,3926,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199030216672/mmr?playlist=10
5.40,9.40,4.20,30,57.4%,1.29,32464,10147,8383,4915,20196,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198118330600/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/SourPumpkin502/mmr?playlist=10
5.00,9.55,3.64,33,52.9%,1.50,6288,2301,2068,1549,5965,https://rocketleague.tracker.network/rocket-league/profile/epic/Aluc%20-/mmr?playlist=10
6.65,11.10,3.85,60,59.9%,1.73,2475,644,460,303,1368,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198362029227/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/swazzrll/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ishyou/mmr?playlist=10
4.54,9.04,4.11,138,85.7%,0.60,32757,10986,11562,6140,31249,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198313294189/mmr?playlist=10
4.21,7.82,3.47,171,53.8%,1.21,4712,1774,1656,782,3667,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198892977978/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/PsychoRL/mmr?playlist=10
8.25,14.50,3.75,12,56.9%,2.20,4712,1774,1656,782,3667,https://rocketleague.tracker.network/rocket-league/profile/epic/DAYYS%C2%B5/mmr?playlist=10
2.43,4.04,1.36,84,60.2%,1.79,26084,13305,13512,5785,23662,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198150198381/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/xDays%20RL/mmr?playlist=10
7.50,12.50,4.50,6,60.0%,1.67,22423,8250,8636,4162,25202,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199006315150/mmr?playlist=10
5.00,9.55,3.64,33,52.4%,1.38,6288,2301,2068,1549,5965,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198287097377/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198976692104/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Kreep%C6%B5/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/YoLuckii/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198909861294/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Mh4x99/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/br1ckss./mmr?playlist=10
