0,1,2,3,4,5,6,7,8,9,10,11
3.56,6.00,2.28,54,59.3%,1.56,8508,3989,3152,1706,7102,https://rocketleague.tracker.network/rocket-league/profile/xbl/CHEVYxZ/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Sberg./mmr?playlist=10
4.42,8.32,3.78,711,53.1%,1.17,35916,12537,11177,5670,30871,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198331960838/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/InstantBedbug636/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/CHEVYxZ/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/R34-./mmr?playlist=10
5.57,10.69,5.58,546,52.1%,1.00,86397,23861,22283,12307,88400,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198168073427/mmr?playlist=10
4.47,8.27,3.03,591,54.0%,1.47,39960,12816,13529,5653,45329,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198976484899/mmr?playlist=10
5.00,10.86,2.29,21,46.1%,2.19,25008,7720,7657,3890,16900,https://rocketleague.tracker.network/rocket-league/profile/epic/caleb.rl/mmr?playlist=10
5.33,9.50,2.50,18,56.1%,2.13,25008,7720,7657,3890,16900,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198329958930/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198284351127/mmr?playlist=10
3.33,6.67,4.33,9,50.0%,0.77,58647,16506,16273,7838,44524,https://rocketleague.tracker.network/rocket-league/profile/epic/Tjesterr/mmr?playlist=10
6.67,13.33,5.83,18,50.0%,1.14,22024,7088,7619,3693,17077,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198285832951/mmr?playlist=10
4.58,8.81,3.60,690,51.9%,1.27,6389,1300,1078,439,5785,https://rocketleague.tracker.network/rocket-league/profile/epic/ZoRsaliNo/mmr?playlist=10
4.02,8.02,3.15,303,50.1%,1.28,6389,1300,1078,439,5785,https://rocketleague.tracker.network/rocket-league/profile/psn/ApparentlyNZ/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Nolystic/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Super1achie/mmr?playlist=10
4.12,8.53,4.35,51,48.3%,0.95,36457,14724,18169,7127,52139,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198841499110/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ivnRL/mmr?playlist=10
4.32,8.77,3.26,93,49.3%,1.33,15692,4797,4615,2111,14190,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199051068170/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/instinct_rises/mmr?playlist=10
7.00,14.50,4.50,6,48.3%,1.56,25770,7902,8541,3592,23503,https://rocketleague.tracker.network/rocket-league/profile/psn/Instinct_Rises/mmr?playlist=10
4.92,11.38,4.46,39,43.2%,1.10,28703,6867,6001,2417,26309,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198453472798/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/KIILEERRZ/mmr?playlist=10
4.90,9.67,3.69,126,50.7%,1.33,24488,7815,8253,3754,26208,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198321877596/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/PengoIi/mmr?playlist=10
4.33,7.89,5.67,27,54.9%,0.76,37718,16003,18088,9966,50543,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198150969845/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/K%C3%A9rian./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/AdverseMeteor/mmr?playlist=10
5.00,13.00,4.00,3,47.4%,1.29,41279,12572,12807,6769,25815,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198052159821/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/KERIAN-YONI/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/TorsosRL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198327320352/mmr?playlist=10
6.29,12.02,4.61,147,52.3%,1.36,20105,4753,4877,2189,19037,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199076206546/mmr?playlist=10
6.11,11.59,4.38,168,52.7%,1.40,20105,4753,4877,2189,19037,https://rocketleague.tracker.network/rocket-league/profile/epic/Ashllxyy./mmr?playlist=10
5.86,10.57,4.21,42,55.4%,1.39,43013,12994,14018,7221,39195,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198350483144/mmr?playlist=10
5.69,10.46,4.92,39,54.4%,1.16,20105,4753,4877,2189,19037,https://rocketleague.tracker.network/rocket-league/profile/psn/Ashllxyy_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/zife./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/rlplayer161/mmr?playlist=10
2.80,5.39,2.49,123,52.0%,1.13,43013,12994,14018,7221,39195,https://rocketleague.tracker.network/rocket-league/profile/epic/Kirikou57./mmr?playlist=10
5.79,10.74,3.68,57,53.9%,1.57,22289,7262,7279,3500,18011,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198949415506/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/qcreamz/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/missionaryjack%E3%83%84/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199028536942/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/pablobrrr%E3%83%84/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Ll%20antix%20ll/mmr?playlist=10
4.86,8.21,2.43,42,59.1%,2.00,20218,6983,7158,3014,23565,https://rocketleague.tracker.network/rocket-league/profile/epic/CarcaPro17RL/mmr?playlist=10
5.45,10.37,4.46,411,52.5%,1.22,51863,13774,13877,6882,67396,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198879992974/mmr?playlist=10
5.37,10.67,4.33,129,50.3%,1.24,51863,13774,13877,6882,67396,https://rocketleague.tracker.network/rocket-league/profile/epic/Renshiro_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198252181928/mmr?playlist=10
5.25,9.91,4.25,132,53.0%,1.24,56280,19899,24893,10628,56523,https://rocketleague.tracker.network/rocket-league/profile/epic/FairyPeak/mmr?playlist=10
5.24,10.10,3.93,336,51.9%,1.33,56280,19899,24893,10628,56523,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198213713880/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/RL.reveal/mmr?playlist=10
5.00,9.25,5.75,8,60.0%,3.00,480,103,58,56,232,https://rocketleague.tracker.network/rocket-league/profile/epic/wiNo.SSL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Papiicharles%20otf/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Bb0oy/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/hazoh./mmr?playlist=10
5.87,10.40,3.07,135,56.4%,1.91,6817,3138,3164,1529,8161,https://rocketleague.tracker.network/rocket-league/profile/psn/vtweex/mmr?playlist=10
4.17,7.50,2.67,18,55.6%,1.56,31785,10754,12063,5762,28084,https://rocketleague.tracker.network/rocket-league/profile/epic/noly./mmr?playlist=10
4.71,9.29,4.29,21,50.8%,1.10,31785,10754,12063,5762,28084,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198421981724/mmr?playlist=10
7.00,11.00,3.50,12,63.6%,2.00,18320,5798,5534,3002,17212,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199045907333/mmr?playlist=10
7.00,11.50,4.50,6,60.9%,1.56,22633,9061,10325,4665,32280,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198893930063/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Lorely-_-/mmr?playlist=10
4.75,8.42,2.58,36,56.4%,1.84,62625,17106,14872,7028,55521,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198306532423/mmr?playlist=10
4.18,7.73,2.55,33,54.1%,1.64,21580,6858,6226,3260,18821,https://rocketleague.tracker.network/rocket-league/profile/epic/ZaadDraad/mmr?playlist=10
5.25,10.25,4.50,12,51.2%,1.17,9117,2177,2208,974,9027,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198843248571/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198361446159/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/candyman853/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/arjuRL/mmr?playlist=10
5.17,8.17,4.00,18,63.3%,1.29,28908,8607,9115,3654,25892,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198965855723/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/quinten_pr/mmr?playlist=10
5.71,10.12,4.53,102,56.4%,1.26,47741,14651,14470,7408,42425,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198799694528/mmr?playlist=10
5.57,10.22,4.76,138,54.5%,1.17,47741,14651,14470,7408,42425,https://rocketleague.tracker.network/rocket-league/profile/epic/NoxesRL/mmr?playlist=10
5.24,10.51,4.27,189,49.8%,1.23,50261,15667,17557,6891,52569,https://rocketleague.tracker.network/rocket-league/profile/epic/Tr3blaAlbert/mmr?playlist=10
5.35,9.93,4.05,387,53.9%,1.32,10522,2887,3160,1267,11107,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198954456220/mmr?playlist=10
5.81,10.65,3.19,93,54.5%,1.82,523,149,89,38,269,https://rocketleague.tracker.network/rocket-league/profile/epic/ChiefState1460/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198302892925/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Duduuh432/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Gekk%20%E3%83%84/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Gekkenman/mmr?playlist=10
4.87,9.02,4.11,189,54.0%,1.19,13222,3241,3406,1419,15351,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198202084876/mmr?playlist=10
3.43,6.57,4.29,21,52.2%,0.80,13222,3241,3406,1419,15351,https://rocketleague.tracker.network/rocket-league/profile/psn/DrKnown999/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/virtuosoRL1/mmr?playlist=10
5.16,9.82,3.93,582,52.6%,1.31,50261,15667,17557,6891,52569,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198406569848/mmr?playlist=10
4.64,8.80,4.07,168,52.7%,1.14,13222,3241,3406,1419,15351,https://rocketleague.tracker.network/rocket-league/profile/epic/DrKnown/mmr?playlist=10
5.00,9.00,2.00,3,55.6%,2.50,3345,1088,1094,537,3260,https://rocketleague.tracker.network/rocket-league/profile/epic/motta_rl/mmr?playlist=10
6.15,11.77,4.00,39,52.3%,1.54,31483,11305,14097,6090,33994,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198381037239/mmr?playlist=10
5.43,10.86,3.29,21,50.0%,1.65,31483,11305,14097,6090,33994,https://rocketleague.tracker.network/rocket-league/profile/epic/oskimeister/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/QuietPlatypus958/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198297570959/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/TiktokEazyBoosts/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/iKash1/mmr?playlist=10
4.33,7.00,4.00,9,61.9%,1.08,11392,3833,3628,1735,8906,https://rocketleague.tracker.network/rocket-league/profile/xbl/Modern18/mmr?playlist=10
4.30,7.50,3.20,30,57.3%,1.34,29037,10512,12826,6403,35217,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198870167817/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/itsKashh./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198445182240/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/gmantacular/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/NarrowLion536/mmr?playlist=10
6.00,9.00,6.00,6,66.7%,1.00,21121,5285,5020,3004,16104,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198301847518/mmr?playlist=10
5.29,10.14,3.86,21,52.1%,1.37,42660,17549,18922,7766,52658,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198336985896/mmr?playlist=10
