0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Hexziy/mmr?playlist=10
5.17,9.83,2.00,18,52.5%,2.58,20622,8776,9772,4465,17738,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198986759379/mmr?playlist=10
4.30,8.44,3.63,81,50.9%,1.18,29944,10302,8733,4458,30292,https://rocketleague.tracker.network/rocket-league/profile/epic/Hexziyy/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Thyyder./mmr?playlist=10
4.18,7.95,3.37,249,52.6%,1.24,29944,10302,8733,4458,30292,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199122369761/mmr?playlist=10
7.67,12.67,5.33,9,60.5%,1.44,17636,8674,7927,3321,15159,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198272598162/mmr?playlist=10
4.84,10.88,5.08,75,44.5%,0.95,33301,10723,9695,6839,35892,https://rocketleague.tracker.network/rocket-league/profile/xbl/Seekxnz/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/AzeSinki./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/lukekapo/mmr?playlist=10
4.00,9.20,4.00,30,43.5%,1.00,21748,5856,3957,1723,15723,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199078271841/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Frexlin1/mmr?playlist=10
6.29,11.43,4.71,21,55.0%,1.33,33586,11709,12517,5775,30297,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198061364307/mmr?playlist=10
3.09,5.94,1.71,198,52.0%,1.81,19702,7006,5295,3870,14997,https://rocketleague.tracker.network/rocket-league/profile/epic/daebod./mmr?playlist=10
6.00,11.58,3.33,36,51.8%,1.80,16838,5950,6873,3024,16575,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199070529477/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Slushyyrl/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/yoitsastrocades/mmr?playlist=10
15.00,32.00,10.00,9,46.9%,1.50,17636,8674,7927,3321,15159,https://rocketleague.tracker.network/rocket-league/profile/epic/Lord-Cube/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198984631576/mmr?playlist=10
5.44,10.15,4.45,351,53.7%,1.22,104637,30024,34527,13569,87117,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198264263696/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/psn/Glfty-LFT/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198796645058/mmr?playlist=10
3.82,6.00,0.87,117,63.7%,4.38,38864,13389,9460,5273,19945,https://rocketleague.tracker.network/rocket-league/profile/epic/Captain5703/mmr?playlist=10
5.78,10.78,4.93,123,53.6%,1.17,104637,30024,34527,13569,87117,https://rocketleague.tracker.network/rocket-league/profile/epic/chronomia/mmr?playlist=10
