0,1,2,3,4,5,6,7,8,9,10,11
3.67,10.33,2.33,9,39.4%,0.87,38083,9567,8053,3468,29742,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198842585279/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/%C6%9D%CE%AAC%D2%9C%E3%84%9A/mmr?playlist=10
4.12,7.50,2.62,24,55.0%,1.57,9626,3110,3396,1204,8470,https://rocketleague.tracker.network/rocket-league/profile/epic/doubleGweiser/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198931618348/mmr?playlist=10
3.33,9.00,3.67,9,38.2%,0.82,31938,9420,8305,3515,30470,https://rocketleague.tracker.network/rocket-league/profile/epic/JiqzRL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198139642628/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/NotSoFakeyAlex/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/shay_krk/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Wendy%20thebuilder/mmr?playlist=10
4.54,8.23,2.23,39,55.1%,2.03,15417,4623,4015,1858,11882,https://rocketleague.tracker.network/rocket-league/profile/epic/LyghtBulb./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/bluejob_/mmr?playlist=10
5.87,11.26,5.35,93,52.1%,1.10,20309,7532,6610,4237,23876,https://rocketleague.tracker.network/rocket-league/profile/xbl/Vibez%20Shadow518/mmr?playlist=10
2.00,4.50,2.75,12,44.4%,0.73,21237,7788,7986,4226,19964,https://rocketleague.tracker.network/rocket-league/profile/epic/ItsLuciid-/mmr?playlist=10
12.00,20.00,4.00,3,60.0%,3.00,13968,5330,4247,2078,11583,https://rocketleague.tracker.network/rocket-league/profile/epic/koduh/mmr?playlist=10
6.42,11.25,2.50,36,57.0%,2.57,18607,6341,6078,2900,15278,https://rocketleague.tracker.network/rocket-league/profile/epic/ego_irl/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/zayko4/mmr?playlist=10
4.33,7.00,2.00,9,61.9%,2.17,58724,15437,13982,5086,41585,https://rocketleague.tracker.network/rocket-league/profile/epic/Zak%20LFT/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/OvO_Taylor/mmr?playlist=10
5.00,10.50,2.50,6,47.6%,2.00,22708,12096,11478,5469,23732,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198887002043/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/BranJ./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198186289113/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/iMbOnKeRz55/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198965751719/mmr?playlist=10
7.00,12.50,3.50,12,56.0%,2.00,24702,8300,8993,4377,24776,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199012769113/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/itsLuciid-/mmr?playlist=10
5.00,9.00,2.00,3,55.6%,2.50,13968,5330,4247,2078,11583,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199071406511/mmr?playlist=10
3.95,7.05,3.27,66,56.1%,1.21,7125,2262,2162,1281,6345,https://rocketleague.tracker.network/rocket-league/profile/psn/ChappyOh/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Cyclone-375/mmr?playlist=10
5.60,8.40,3.60,30,66.7%,1.56,13164,2715,1531,767,7326,https://rocketleague.tracker.network/rocket-league/profile/epic/xShadow12./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198931114991/mmr?playlist=10
