0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/M%20N%20F./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198859561163/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/rhys_gk_02/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/HawaryRL/mmr?playlist=10
6.00,7.00,6.00,3,85.7%,1.00,22851,9363,8677,4363,17362,https://rocketleague.tracker.network/rocket-league/profile/xbl/Curxent/mmr?playlist=10
6.33,9.67,4.00,9,65.5%,1.58,9574,3896,3241,1822,7167,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199018974011/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Noot.%E3%83%84/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Confiding/mmr?playlist=10
4.91,9.00,4.64,33,54.5%,1.06,22851,9363,8677,4363,17362,https://rocketleague.tracker.network/rocket-league/profile/epic/im%20probs%20fried/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198387061688/mmr?playlist=10
5.09,8.27,4.27,33,61.5%,1.19,4725,2081,2236,839,4701,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198133455357/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/simply%20not%20kira/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/metxnz/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Bidniss/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Eleed-7/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198096530403/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/AbiturBB/mmr?playlist=10
9.00,13.00,1.00,3,69.2%,9.00,14262,5633,4051,2220,11183,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198271973285/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/icy%E3%81%8C/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/MaccaRonii/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198311818377/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Marshmello%20Gravy/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198281570986/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/NOBLAZE_TIKTOK/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Not-Star-_-/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/TurboInferno420/mmr?playlist=10
4.80,10.20,2.60,15,47.1%,1.85,8146,3136,3487,1699,10043,https://rocketleague.tracker.network/rocket-league/profile/epic/%CE%9A%CF%81%CE%AC%CF%84%CE%BF%CF%82%201907/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198353361478/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/KaJayy./mmr?playlist=10
4.50,6.50,0.00,6,69.2%,27.00,10898,4339,4473,1919,11071,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198409505633/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198313864763/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/KrD_victor3/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Curbyy98/mmr?playlist=10
4.75,8.00,2.25,12,59.4%,2.11,12225,4564,4832,1838,8697,https://rocketleague.tracker.network/rocket-league/profile/epic/punk%20flicka%20fofo/mmr?playlist=10
