0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/psn/HushRL_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Hush%20sucks/mmr?playlist=10
5.50,11.75,5.75,12,46.8%,0.96,270,218,24,70,179,https://rocketleague.tracker.network/rocket-league/profile/epic/0%20iq%20twostorm/mmr?playlist=10
5.50,11.75,5.75,12,46.8%,0.96,270,218,24,70,179,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198182243647/mmr?playlist=10
4.88,8.73,3.94,99,55.9%,1.24,798,174,76,62,414,https://rocketleague.tracker.network/rocket-league/profile/epic/OrangeMacaw8203/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/CobaltMoonRL/mmr?playlist=10
5.33,11.00,2.56,27,48.5%,2.09,21406,5943,6927,3146,20487,https://rocketleague.tracker.network/rocket-league/profile/epic/vwl1y/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198411090295/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Orbit%20Viperrr/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/NoaRL6328/mmr?playlist=10
5.89,9.89,4.00,27,59.6%,1.47,22719,9102,9913,4705,27636,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199021174482/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/Akaguh/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198182374641/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/SadPtarmigan7198/mmr?playlist=10
5.00,10.00,3.00,3,50.0%,1.67,17117,5067,4689,2077,13632,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198972678938/mmr?playlist=10
4.50,5.00,4.00,6,90.0%,1.12,34941,12832,12893,5905,38273,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199084382801/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/MoldySkunk437/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199041174016/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Obseyd%20RL/mmr?playlist=10
4.54,8.39,3.36,240,54.1%,1.35,34233,9623,9320,4145,36663,https://rocketleague.tracker.network/rocket-league/profile/epic/AKAJefeRL_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/al%20Sheikh%20mubark/mmr?playlist=10
8.50,17.12,5.75,24,49.6%,1.48,26561,9001,8050,3265,24678,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198435396804/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/JerryJerry123/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/King%20bob1450/mmr?playlist=10
3.40,5.40,1.00,15,63.0%,3.40,2181,673,466,327,1471,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199069282953/mmr?playlist=10
6.62,12.76,3.57,63,51.9%,1.85,18373,5808,3957,2626,13778,https://rocketleague.tracker.network/rocket-league/profile/epic/IlIIIllIIIllIIIl/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/zqihr/mmr?playlist=10
5.42,8.08,3.25,36,67.0%,1.67,29053,12131,12723,5973,24548,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198090290557/mmr?playlist=10
11.00,13.00,3.00,3,84.6%,3.67,25470,9385,9537,4808,20503,https://rocketleague.tracker.network/rocket-league/profile/epic/RoyalesRL/mmr?playlist=10
5.23,9.44,3.23,186,55.4%,1.62,18373,5808,3957,2626,13778,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198271810354/mmr?playlist=10
6.08,12.52,3.68,75,48.6%,1.65,24465,6843,5319,2407,17079,https://rocketleague.tracker.network/rocket-league/profile/epic/Nam%20._./mmr?playlist=10
6.33,11.00,6.67,9,57.6%,0.95,23791,7857,6770,5234,20314,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198153577387/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Aenia%E3%83%84/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Flow%E6%9C%AC%E9%9B%A3/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Cpt-Niels/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198832610458/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/TopCheese9546/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Candy%20RL/mmr?playlist=10
6.00,9.00,5.00,3,66.7%,1.20,32440,9255,7435,4307,24641,https://rocketleague.tracker.network/rocket-league/profile/psn/im_rxos/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198966287407/mmr?playlist=10
3.89,7.00,2.44,27,55.6%,1.59,32885,10628,11577,4478,34223,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198439862585/mmr?playlist=10
5.11,9.28,3.94,54,55.1%,1.30,26395,9910,8144,4752,22398,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198862328349/mmr?playlist=10
7.50,11.50,3.00,6,65.2%,2.50,29697,8918,9114,4509,24908,https://rocketleague.tracker.network/rocket-league/profile/psn/Seboraahh-ksa/mmr?playlist=10
5.09,9.68,3.41,351,52.6%,1.49,28210,8277,8753,3491,27663,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198999319827/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/nxghttk/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Icy_RL/mmr?playlist=10
7.00,12.00,5.00,3,58.3%,1.40,30578,10758,11836,5247,30020,https://rocketleague.tracker.network/rocket-league/profile/epic/SrNaniiTou/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198284829646/mmr?playlist=10
4.00,10.67,4.00,9,42.9%,0.75,27804,11454,14141,4832,34244,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198995316570/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/psn/Darknees-Zeus/mmr?playlist=10
4.99,9.29,3.15,234,53.7%,1.58,28210,8277,8753,3491,27663,https://rocketleague.tracker.network/rocket-league/profile/epic/REDSHlN/mmr?playlist=10
6.06,9.25,2.34,324,65.6%,2.59,17677,6059,3875,1643,10662,https://rocketleague.tracker.network/rocket-league/profile/epic/Sbloguen./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198339463327/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/TLB%20Turtle/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198371632507/mmr?playlist=10
4.79,9.79,4.57,42,48.9%,1.05,9619,3567,4022,1836,12703,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198350477144/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Ahduhm/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198954231987/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/lolzeus.rl/mmr?playlist=10
6.00,10.88,4.18,51,55.1%,1.44,9168,3964,3642,1802,10540,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199159504464/mmr?playlist=10
2.33,5.50,2.33,18,42.4%,1.00,13357,4826,4180,2047,9291,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198396649439/mmr?playlist=10
5.86,10.14,4.14,126,57.7%,1.41,9168,3964,3642,1802,10540,https://rocketleague.tracker.network/rocket-league/profile/epic/Lou9x/mmr?playlist=10
4.39,7.26,2.46,92,60.5%,1.79,298,71,26,30,190,https://rocketleague.tracker.network/rocket-league/profile/epic/romulojosuario12/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/oe_f9/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/oe_f9/mmr?playlist=10
2.77,5.23,2.91,66,53.0%,0.95,15105,3798,2149,1378,9851,https://rocketleague.tracker.network/rocket-league/profile/epic/wetcow67/mmr?playlist=10
3.52,6.09,3.36,99,57.7%,1.05,15105,3798,2149,1378,9851,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199039741281/mmr?playlist=10
2.00,6.75,4.25,12,34.3%,0.52,64968,22015,21908,10471,67191,https://rocketleague.tracker.network/rocket-league/profile/epic/WAJEH%20YT/mmr?playlist=10
3.50,7.50,2.00,6,46.7%,1.75,6246,1801,1288,807,3994,https://rocketleague.tracker.network/rocket-league/profile/psn/WhatUp-_-IzYaBoi/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198111266411/mmr?playlist=10
5.67,8.67,6.33,9,65.4%,0.89,64968,22015,21908,10471,67191,https://rocketleague.tracker.network/rocket-league/profile/psn/KSA_WAJEH_KSA/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Crrypto/mmr?playlist=10
4.00,8.14,4.29,21,49.1%,0.93,34898,11284,11114,4493,34104,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198844770875/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198226819264/mmr?playlist=10
7.00,15.00,3.00,3,46.7%,2.33,10381,3074,3384,1425,11524,https://rocketleague.tracker.network/rocket-league/profile/epic/cAbdllah17/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/SplishSplassh./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ManyYak15/mmr?playlist=10
7.20,11.80,3.80,15,61.0%,1.89,10381,3074,3384,1425,11524,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198979425239/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Zaxocoii/mmr?playlist=10
4.05,9.51,4.10,117,42.6%,0.99,64968,22015,21908,10471,67191,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199039825240/mmr?playlist=10
6.00,10.50,7.00,6,57.1%,0.86,44272,13969,13218,7367,41357,https://rocketleague.tracker.network/rocket-league/profile/epic/Cheezyman_/mmr?playlist=10
5.50,10.00,7.50,6,55.0%,0.73,34898,11284,11114,4493,34104,https://rocketleague.tracker.network/rocket-league/profile/epic/kinseh_/mmr?playlist=10
3.09,4.55,1.18,33,68.0%,2.62,289,74,37,41,157,https://rocketleague.tracker.network/rocket-league/profile/epic/igarl.-/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/sneeky88/mmr?playlist=10
1.56,4.07,2.70,81,38.2%,0.58,26307,11242,10266,5462,23518,https://rocketleague.tracker.network/rocket-league/profile/epic/ElkaElkaXD/mmr?playlist=10
5.53,11.47,6.07,45,48.3%,0.91,12307,3966,4140,2145,15573,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198344477903/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/vTonio./mmr?playlist=10
1.56,4.07,2.70,81,38.2%,0.58,26307,11242,10266,5462,23518,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198199450522/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/o0vvl_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198333596117/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/gnagflow06/mmr?playlist=10
6.00,11.22,5.22,27,53.5%,1.15,25602,8459,10377,4657,27511,https://rocketleague.tracker.network/rocket-league/profile/epic/yujin%C2%B5/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/creamyy%20%E0%B9%94/mmr?playlist=10
3.06,5.12,2.56,48,59.8%,1.20,21209,8262,8685,4515,26898,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199078046523/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Shiro-_-Neko_01/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/ruinBOX/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Gnagflow06/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/akaEvoke/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Battle_Baz_5/mmr?playlist=10
4.78,7.78,6.44,27,61.4%,0.74,62110,23697,26297,11587,60623,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198008942341/mmr?playlist=10
