0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/jackytuninge/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/psn/yumacf/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/STEEL._/mmr?playlist=10
2.25,5.25,0.75,12,42.9%,3.00,1903,517,443,340,1512,https://rocketleague.tracker.network/rocket-league/profile/epic/kostondagamer2/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Electrons._./mmr?playlist=10
9.83,18.83,6.50,18,52.2%,1.51,9307,2920,2387,1436,9784,https://rocketleague.tracker.network/rocket-league/profile/epic/S%C3%A2mulator/mmr?playlist=10
8.17,13.17,6.17,18,62.0%,1.32,63047,18234,17154,8194,47697,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198078477773/mmr?playlist=10
5.40,9.10,3.00,30,59.3%,1.80,19244,7724,6770,2793,17066,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198870979500/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/botcob/mmr?playlist=10
5.80,10.10,2.80,30,57.4%,2.07,927,267,267,182,794,https://rocketleague.tracker.network/rocket-league/profile/epic/GILBERT%20Q1%20COUP/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/BlueSkyRL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/AmusedFlash621/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198384937474/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198376249381/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198220570709/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Chonkoid/mmr?playlist=10
5.27,9.82,3.45,33,53.7%,1.53,13516,3964,3766,1426,10647,https://rocketleague.tracker.network/rocket-league/profile/epic/PrDx%20Smokey/mmr?playlist=10
5.50,8.50,3.25,12,64.7%,1.69,19244,7724,6770,2793,17066,https://rocketleague.tracker.network/rocket-league/profile/epic/EmBerxdx/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199070447572/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Zvndji/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/coupsno8/mmr?playlist=10
5.07,8.14,2.64,42,62.3%,1.92,9085,3993,4086,1955,6381,https://rocketleague.tracker.network/rocket-league/profile/psn/datah-t45/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Piethawn/mmr?playlist=10
4.44,8.00,1.44,27,55.6%,3.08,17309,6110,5909,3063,11805,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198194221831/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/GtheSherpa/mmr?playlist=10
6.25,10.38,2.75,24,60.2%,2.27,15157,5535,5860,2041,11084,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199062605631/mmr?playlist=10
5.60,10.60,3.80,15,52.8%,1.47,33305,9873,7443,4671,19373,https://rocketleague.tracker.network/rocket-league/profile/epic/B4rryB/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/preemo78/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198443778391/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/BoogieWoogielol/mmr?playlist=10
3.17,7.67,3.83,18,43.1%,0.77,16715,5896,6206,2754,18918,https://rocketleague.tracker.network/rocket-league/profile/epic/BLEKE./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198142422296/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Sawhater/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/OneEyedKiiing/mmr?playlist=10
5.78,9.89,4.33,27,58.4%,1.33,42517,13279,11642,6086,37875,https://rocketleague.tracker.network/rocket-league/profile/epic/HAY0./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198202166653/mmr?playlist=10
4.58,7.83,3.00,36,58.5%,1.53,12792,4427,4061,2484,10144,https://rocketleague.tracker.network/rocket-league/profile/epic/Frainfrolin/mmr?playlist=10
4.50,8.50,1.50,6,52.9%,3.00,12082,5177,5325,2585,11106,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198802518509/mmr?playlist=10
