0,1,2,3,4,5,6,7,8,9,10,11
10.00,24.67,6.00,9,45.0%,1.67,25334,8576,8249,4314,17316,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198354338685/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Saints%E3%82%B7/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/StardawgRL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199049066197/mmr?playlist=10
4.03,7.66,2.81,96,52.7%,1.43,11762,3683,3055,1252,9513,https://rocketleague.tracker.network/rocket-league/profile/psn/jumpyslurp/mmr?playlist=10
4.30,7.48,2.65,69,57.6%,1.62,21063,7426,6822,4124,13342,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199015927393/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/CresporX/mmr?playlist=10
5.00,8.73,3.14,66,57.3%,1.59,16311,7399,5967,2424,15034,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199032021645/mmr?playlist=10
6.00,12.50,3.75,12,48.0%,1.60,34201,14378,15183,5237,27111,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198829882391/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Amnesiaa-/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/User-dcc66094c9/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199051673831/mmr?playlist=10
4.32,7.62,2.12,333,56.7%,2.04,2030,583,618,297,1649,https://rocketleague.tracker.network/rocket-league/profile/epic/Jamiethjuu_RL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198170660757/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199066098749/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/PlayLikeLuutix/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198857205493/mmr?playlist=10
