0,1,2,3,4,5,6,7,8,9,10,11
6.11,11.28,3.61,54,54.2%,1.69,6667,2767,2725,1180,9579,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198219700049/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Bathtub4/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/I%20Robex%20II/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/xbl/Qurnage/mmr?playlist=10
5.00,9.00,3.80,15,55.6%,1.32,19412,5375,4740,2898,16079,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198272054510/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/noly%20rl/mmr?playlist=10
5.17,10.00,3.17,18,51.7%,1.63,19412,5375,4740,2898,16079,https://rocketleague.tracker.network/rocket-league/profile/epic/JustDyceRL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/TheNachete97/mmr?playlist=10
10.00,17.00,2.00,3,58.8%,5.00,31711,12602,15971,6716,38785,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198451804049/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/cvbcbxcvd/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/You21Yet/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/LyiinoRL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Lady%20Penelope/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Gstke/mmr?playlist=10
4.40,7.40,4.80,15,59.5%,0.92,5912,2015,1772,813,4897,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199077856658/mmr?playlist=10
4.67,7.67,3.67,9,60.9%,1.27,30183,11554,12852,5672,34737,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198440032377/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/FriendlyCod841/mmr?playlist=10
10.00,19.22,5.78,27,52.0%,1.73,5638,1180,571,519,3509,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198127380406/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Pads1011/mmr?playlist=10
5.02,9.50,4.49,381,52.9%,1.12,43168,16116,15092,8181,39636,https://rocketleague.tracker.network/rocket-league/profile/xbl/sSESHx/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/CRT_GaeRyS/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/setchrl/mmr?playlist=10
5.86,10.11,4.00,108,58.0%,1.47,2243,855,773,403,1935,https://rocketleague.tracker.network/rocket-league/profile/epic/kez.%C2%B5/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/gamble_player/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Sjaakow/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/v-KieranKK/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198389635772/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/sho_yo-kun/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198413328158/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/Al%C2%BAt/mmr?playlist=10
5.84,9.16,2.16,38,63.8%,2.71,398,111,94,61,417,https://rocketleague.tracker.network/rocket-league/profile/epic/NeroX-A/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/iiAzuz/mmr?playlist=10
5.43,8.71,2.71,21,62.3%,2.00,19270,7116,7363,2868,17538,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198393153848/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198122099337/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Nova%20Luiz197/mmr?playlist=10
4.85,8.35,2.62,78,58.1%,1.85,35057,6532,3128,1780,17451,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198328435634/mmr?playlist=10
4.93,9.29,4.64,84,53.1%,1.06,23808,9386,8563,5648,22960,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199041206257/mmr?playlist=10
5.13,9.21,3.61,213,55.7%,1.42,34630,7713,7454,3539,29957,https://rocketleague.tracker.network/rocket-league/profile/epic/BKQSS/mmr?playlist=10
6.10,12.10,3.80,30,50.4%,1.61,4026,1322,1236,664,3341,https://rocketleague.tracker.network/rocket-league/profile/xbl/plowv/mmr?playlist=10
5.20,10.60,6.20,15,66.7%,0.67,23808,9386,8563,5648,22960,https://rocketleague.tracker.network/rocket-league/profile/psn/vWolftic/mmr?playlist=10
5.47,9.75,3.69,231,56.1%,1.48,34630,7713,7454,3539,29957,https://rocketleague.tracker.network/rocket-league/profile/xbl/BKQSS/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198848653826/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198076736523/mmr?playlist=10
3.12,6.06,2.53,51,51.5%,1.23,42579,16446,17667,6531,42536,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198166610066/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Kronovi/mmr?playlist=10
7.67,12.33,2.33,9,62.2%,3.29,1115,240,225,135,660,https://rocketleague.tracker.network/rocket-league/profile/epic/KaChow%20Mcqueen69/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198963762912/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ForestArcher21/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Sjaakow/mmr?playlist=10
5.26,9.40,4.43,105,55.9%,1.19,43168,16116,15092,8181,39636,https://rocketleague.tracker.network/rocket-league/profile/epic/9d7j9g0k7IllIllI/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Breykur/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/KnsMoonster/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/N8rl/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198353125160/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/DiZzyy_rl/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/OfficialMushy/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/nxchosky/mmr?playlist=10
4.73,8.83,3.14,414,53.6%,1.50,34568,10660,9724,3764,34152,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199066140308/mmr?playlist=10
4.20,7.10,2.10,30,59.2%,2.00,43350,11690,7526,3838,24109,https://rocketleague.tracker.network/rocket-league/profile/epic/VanityBurns/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/spumy_one7/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199149272535/mmr?playlist=10
5.33,10.17,3.67,18,52.5%,1.45,25925,8688,9956,4543,30436,https://rocketleague.tracker.network/rocket-league/profile/epic/aktn_/mmr?playlist=10
4.75,8.80,2.16,402,54.0%,2.20,11390,3565,3544,1601,7488,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198415925688/mmr?playlist=10
4.00,10.40,3.40,15,100.0%,3.00,31320,6998,5101,2360,22825,https://rocketleague.tracker.network/rocket-league/profile/epic/Otterr-/mmr?playlist=10
4.67,10.22,3.00,27,45.7%,1.56,10961,3201,2924,1529,10035,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199062774301/mmr?playlist=10
4.85,8.94,3.76,102,54.3%,1.29,25925,8688,9956,4543,30436,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198929477745/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Jrock09/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199013899848/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/reeikoo_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Suvni/mmr?playlist=10
5.00,9.33,5.25,36,53.6%,0.95,23808,9386,8563,5648,22960,https://rocketleague.tracker.network/rocket-league/profile/epic/MrWolftic./mmr?playlist=10
7.20,11.20,3.80,15,64.3%,1.89,10231,2777,1728,791,4403,https://rocketleague.tracker.network/rocket-league/profile/epic/%E3%85%A4viv%E3%85%A4/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Mushy/mmr?playlist=10
6.38,10.38,2.88,24,61.4%,2.22,16368,7061,8177,2760,17096,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199054582390/mmr?playlist=10
7.60,11.90,3.20,30,63.9%,2.38,10231,2777,1728,791,4403,https://rocketleague.tracker.network/rocket-league/profile/xbl/vavivcity/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Mu-shy/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Creative%20Bat/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199481411380/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/kahzii./mmr?playlist=10
5.11,12.00,4.44,27,42.6%,1.15,12113,4209,4421,2188,13923,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198818204178/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/owoSeq/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/NovaaRl./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ProBaDi/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198908838959/mmr?playlist=10
5.00,9.35,3.86,147,53.5%,1.30,17960,6615,7386,3972,16207,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198900359312/mmr?playlist=10
4.70,9.67,2.91,201,48.6%,1.62,25023,9073,8299,5165,23342,https://rocketleague.tracker.network/rocket-league/profile/epic/Nixus%20Bigrooster/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199008895165/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/SiAT-/mmr?playlist=10
5.00,5.50,2.50,6,90.9%,2.00,29196,11453,13111,6485,37172,https://rocketleague.tracker.network/rocket-league/profile/epic/GamblePlayer/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Saucyiwnl/mmr?playlist=10
7.50,11.00,2.50,6,68.2%,3.00,85084,21015,18672,9992,61269,https://rocketleague.tracker.network/rocket-league/profile/epic/TTV%20MittensGG/mmr?playlist=10
4.00,12.00,5.00,3,33.8%,0.83,6339,2172,2199,1228,7017,https://rocketleague.tracker.network/rocket-league/profile/epic/eska%20fanboy/mmr?playlist=10
5.06,10.71,2.18,51,47.3%,2.32,47790,9062,5474,3641,29154,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198294259494/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/despondency./mmr?playlist=10
6.50,13.50,4.00,6,55.7%,0.74,10017,3777,3377,1981,8643,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198307212220/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199071424295/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198354077420/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198353490094/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198924370784/mmr?playlist=10
6.29,12.13,4.06,93,51.9%,1.55,37781,9251,5543,2619,26134,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198026110702/mmr?playlist=10
