0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Loiidd/mmr?playlist=10
5.25,11.00,3.75,12,47.7%,1.40,34055,12185,10951,6575,29989,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198208048317/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Kyro%20%E3%83%85/mmr?playlist=10
4.67,10.00,6.33,9,60.0%,3.00,27201,9101,8737,3585,32949,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198427355110/mmr?playlist=10
5.00,11.00,6.00,3,45.5%,0.83,20434,9013,8958,4747,18804,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198386499985/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/N1ck.G/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198884492837/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/NPleb/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/DecibelRL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198986486838/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198119016479/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/3.A.Z.F/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ponkiorl/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198214991843/mmr?playlist=10
1.00,4.33,1.33,9,23.1%,0.75,1026,238,160,104,706,https://rocketleague.tracker.network/rocket-league/profile/epic/Bananenbroooot/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198343208158/mmr?playlist=10
5.09,12.13,4.52,69,41.9%,1.12,45423,14245,13003,7042,40071,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198128645752/mmr?playlist=10
5.50,9.50,4.00,18,57.9%,1.38,7891,2354,2558,1205,7318,https://rocketleague.tracker.network/rocket-league/profile/epic/BusyCoyote8928/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198368149577/mmr?playlist=10
4.68,8.41,4.15,102,55.6%,1.13,19071,7783,8206,3587,24680,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199013934681/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Q8_hamad_VNG/mmr?playlist=10
3.76,7.18,2.59,51,63.6%,2.33,33623,10317,9330,4348,31358,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198072675441/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198201717753/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/TallerPandora22/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Gonzo%20RL/mmr?playlist=10
5.29,8.71,4.00,21,60.7%,1.32,26589,9199,9735,5104,31398,https://rocketleague.tracker.network/rocket-league/profile/steam/76561197990842425/mmr?playlist=10
9.00,16.00,1.00,3,56.2%,9.00,50739,19767,20276,8356,49252,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198243765880/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/Yato2200/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199015627650/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Goldshot./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Skworchi/mmr?playlist=10
1.70,3.02,0.79,126,56.3%,2.14,405,104,35,37,203,https://rocketleague.tracker.network/rocket-league/profile/epic/slaughter623/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/User-cd1d80b09d/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/FAAYXZN/mmr?playlist=10
14.20,20.20,8.20,15,70.3%,1.73,37769,8086,5691,2729,20572,https://rocketleague.tracker.network/rocket-league/profile/epic/naifms/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/DarkenedSteel/mmr?playlist=10
6.20,10.90,6.00,30,56.9%,1.03,19019,5792,4266,2703,12669,https://rocketleague.tracker.network/rocket-league/profile/epic/acegoat./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/xiiyd/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198376350214/mmr?playlist=10
2.50,4.00,0.50,6,62.5%,5.00,17977,6529,5913,3092,16260,https://rocketleague.tracker.network/rocket-league/profile/psn/xSchmarc/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199093958474/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/DampShrew121/mmr?playlist=10
8.00,12.00,5.00,3,66.7%,1.60,19618,5917,5560,2788,13515,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198850431983/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/xV-QV/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/me/mmr?playlist=10
4.78,8.48,3.13,138,56.4%,1.53,19083,4263,2506,1467,11124,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198384004482/mmr?playlist=10
9.00,12.00,7.00,3,75.0%,1.29,26333,12647,12075,6088,26673,https://rocketleague.tracker.network/rocket-league/profile/xbl/Rezmz/mmr?playlist=10
6.80,10.40,3.20,15,65.4%,2.12,25674,8206,7889,4194,22752,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198210923703/mmr?playlist=10
6.00,15.00,3.33,9,45.5%,1.00,11632,3924,3869,2419,8314,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198966655531/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/PeculiarHeron567/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198995158139/mmr?playlist=10
5.20,9.50,5.50,30,54.7%,0.95,26333,12647,12075,6088,26673,https://rocketleague.tracker.network/rocket-league/profile/epic/Rezmz./mmr?playlist=10
1.00,4.00,1.00,3,50.0%,0.50,31603,8680,6826,4121,30627,https://rocketleague.tracker.network/rocket-league/profile/epic/shaadyrl/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Flux%20Isaac/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Fario%20RL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/SmartPelican934/mmr?playlist=10
6.25,11.00,4.25,12,56.8%,1.47,11531,4119,3415,1629,9036,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199049386024/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198966361203/mmr?playlist=10
4.00,5.00,3.33,9,80.0%,1.20,18861,8355,8055,4275,17376,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199049263784/mmr?playlist=10
3.56,7.00,1.94,48,50.9%,1.84,4967,1671,2205,867,5409,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198317728667/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198872099102/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Acstron./mmr?playlist=10
4.59,8.29,4.65,51,55.3%,0.99,25674,8206,7889,4194,22752,https://rocketleague.tracker.network/rocket-league/profile/xbl/LoopedCaribou65/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199005569769/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/5Aspect./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199061941765/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Zerg_Rush97/mmr?playlist=10
5.29,9.14,5.14,21,57.8%,1.03,25674,8206,7889,4194,22752,https://rocketleague.tracker.network/rocket-league/profile/epic/CaryBou/mmr?playlist=10
