0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Exenito/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Mr%20Growths/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199074936377/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/RacerPxnda/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198307769874/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198299675085/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198354962311/mmr?playlist=10
11.00,22.00,5.00,3,50.0%,2.20,1457,451,394,300,1140,https://rocketleague.tracker.network/rocket-league/profile/epic/Tounsi-93/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Zegetz/mmr?playlist=10
5.14,9.36,4.29,42,55.0%,1.20,20451,9067,9488,4134,21669,https://rocketleague.tracker.network/rocket-league/profile/epic/Nicolas4677./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198380896525/mmr?playlist=10
4.75,8.67,3.83,36,54.8%,1.24,11880,3589,3580,1509,9125,https://rocketleague.tracker.network/rocket-league/profile/epic/Loydrl/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/l_Muddler_l/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Logicman./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Qsthegoat-_-/mmr?playlist=10
1.50,3.50,0.50,6,42.9%,3.00,10005,3461,3705,1561,9404,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198860130898/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/BigRick6/mmr?playlist=10
6.67,11.67,2.67,9,57.1%,2.50,17495,5550,5509,3481,13787,https://rocketleague.tracker.network/rocket-league/profile/xbl/ZippierBloom628/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198066081912/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Lemme%20Clip%20Pls/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198257364112/mmr?playlist=10
8.00,10.00,3.00,3,80.0%,2.67,7733,3184,2959,1440,7090,https://rocketleague.tracker.network/rocket-league/profile/epic/reez%C3%BD/mmr?playlist=10
5.22,8.37,2.68,123,62.4%,1.95,13202,3906,3732,1429,9919,https://rocketleague.tracker.network/rocket-league/profile/epic/Charlik-WOOFWOOF/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199002273066/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199023778254/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Bobbyota4/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/RUTIFOU/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198090530059/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198202054722/mmr?playlist=10
15.00,27.00,13.00,3,55.6%,1.15,18720,7227,6955,2929,15298,https://rocketleague.tracker.network/rocket-league/profile/epic/DarioSaric/mmr?playlist=10
3.57,7.14,2.43,21,50.0%,1.47,30750,11667,11394,4628,31070,https://rocketleague.tracker.network/rocket-league/profile/epic/FluffyBoffy/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/BIG%20WASHED1799/mmr?playlist=10
4.30,8.21,2.74,555,52.4%,1.57,50503,13626,10327,4329,33333,https://rocketleague.tracker.network/rocket-league/profile/epic/Stubby2813/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198804868711/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198044109673/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/NSK%20Lf/mmr?playlist=10
