Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
5.0,8.5,1.25,12,0.588,4.0,16444,5263,4624,2510,13236,1
5.42,8.92,1.66,114,0.608,3.27,31426,8454,7864,3353,17066,1
5.44,9.98,3.7,129,0.545,1.47,12859,4138,3760,1750,9226,1
6.08,10.0,3.75,36,0.608,1.62,14749,5026,4608,2538,9732,1
4.25,7.5,3.0,12,0.5670000000000001,1.42,25950,8530,8747,3977,22988,1
6.85,10.4,2.15,40,0.659,3.19,502,103,59,47,175,1
5.88,9.06,2.53,51,0.649,2.33,9770,2805,2446,1387,6878,1
6.5,11.5,4.5,6,0.565,1.44,2974,861,749,560,1945,1
6.22,11.11,3.0,27,0.56,2.07,31207,9036,8748,4107,30823,1
5.5,9.5,3.0,12,0.7140000000000001,1.15,22176,8837,9430,4365,19014,1
5.97,12.1,4.54,117,0.494,1.32,21592,6243,4307,2204,14798,1
6.0,8.0,5.5,6,0.75,1.09,11645,3599,3599,1921,10100,1
5.5,10.5,6.0,6,0.524,0.92,18781,7447,8690,4116,16338,1
5.5,6.5,3.0,6,0.846,1.83,16033,4168,3191,1310,9554,1
5.8,11.2,4.6,15,0.518,1.26,23380,11478,12412,4527,23262,1
6.86,12.18,3.68,84,0.563,1.86,12951,4977,5104,2426,11366,1
4.21,6.96,2.69,156,0.605,1.56,19037,5772,5480,2401,15659,1
3.5,7.0,1.5,6,0.5,2.33,12859,4138,3760,1750,9226,1
5.2,9.27,3.0,45,0.561,1.73,11344,3490,2969,1940,10564,1
13.5,32.0,17.5,6,0.42200000000000004,0.77,9010,3605,3558,2210,7163,1
3.67,7.44,2.33,27,0.493,1.57,36256,13839,11825,5899,32910,1
