Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
6.2,9.4,4.2,15,0.66,1.48,22255,8962,9266,3621,18788,1
6.27,12.2,6.47,45,0.514,0.97,26172,8066,7110,4270,24487,1
3.89,6.22,3.11,27,0.625,1.25,13166,4097,3918,2431,9680,1
4.08,7.58,3.58,36,0.5379999999999999,1.14,4042,1964,1710,928,5571,1
4.0,9.0,1.0,3,0.444,4.0,4183,1178,1168,651,3135,1
4.0,6.89,2.79,57,0.58,1.43,54640,14065,11695,4520,40583,1
4.0,8.67,2.67,9,0.462,1.5,8262,3518,3600,1820,8032,1
4.78,8.35,3.96,69,0.573,1.21,25854,9209,8850,4502,23075,1
3.0,5.33,1.33,9,0.562,2.25,9727,2526,2279,1175,7445,1
5.25,9.5,3.25,12,0.5529999999999999,1.62,1499,558,534,321,1339,1
5.11,8.92,2.94,375,0.573,1.74,5971,1922,1632,809,3961,1
6.0,9.0,3.0,8,0.667,2.0,349,83,50,38,196,1
6.92,10.83,4.08,72,0.638,1.69,15912,8354,9761,3220,18720,1
6.0,9.0,1.0,6,0.667,6.0,8356,2523,2034,847,4728,1
9.0,16.0,1.0,3,0.562,9.0,11622,3294,3031,2116,9875,1
2.67,4.17,1.33,18,0.64,2.0,24001,8935,9466,5855,26942,1
4.74,8.68,2.16,57,0.545,2.2,11701,4155,3756,2100,8857,1
3.83,6.33,2.5,36,0.605,1.53,1927,429,277,275,1089,1
5.0,9.0,1.0,3,0.556,5.0,7000,2715,2753,1097,7982,1
2.63,4.97,1.8,105,0.529,1.46,13126,4855,3991,2223,9466,1
5.6,8.8,4.2,15,0.636,1.33,23043,6708,5411,1457,22189,1
4.51,7.09,2.11,159,0.636,2.13,11701,4155,3756,2100,8857,1
