Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
4.72,8.47,3.04,159,0.557,1.55,12171,4438,4399,1898,9303,1
5.0,6.0,2.5,6,0.833,2.0,14758,4029,3686,2067,13397,1
4.0,6.8,2.0,15,0.588,2.0,22639,10999,11532,4336,24552,1
4.44,7.56,2.28,54,0.588,1.95,15260,3973,3471,1728,11755,1
6.83,9.33,3.0,18,0.732,2.28,530,120,56,35,296,1
10.98,23.22,6.9,147,0.5,1.0,4666,1456,1616,719,3646,1
5.0,10.0,2.0,3,0.5,2.5,17847,6019,6876,3253,15432,1
5.45,10.27,3.18,33,0.531,1.71,13230,4110,3592,1878,7854,1
4.88,10.38,3.88,24,0.5,0.75,10883,2813,2310,1507,9772,1
4.91,9.27,3.55,33,0.529,1.38,801,267,236,143,588,1
5.48,9.35,2.96,69,0.586,1.85,16703,7346,6713,3623,13645,1
5.0,11.0,6.0,3,0.455,0.83,13850,4687,5346,2339,14686,1
9.33,18.67,5.67,9,0.5,1.65,19316,5667,4835,2160,12636,1
7.25,11.25,4.5,12,0.644,1.61,13325,4018,3343,1949,7906,1
4.06,7.11,3.17,54,0.57,1.28,15486,3598,1671,859,11566,1
3.0,7.33,4.0,9,0.5479999999999999,0.94,1206,565,495,290,1249,1
4.6,10.2,2.4,15,0.451,1.92,10627,3127,2795,1360,8181,1
3.5,5.0,2.0,6,0.7,1.75,11221,4377,5610,1987,11217,1
4.0,10.0,3.0,3,0.446,0.66,15501,6159,5493,2781,12464,1
5.15,10.69,4.38,39,0.48200000000000004,1.18,22361,8106,7491,2844,15884,1
