Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
3.67,10.33,2.33,9,0.39399999999999996,0.87,38083,9567,8053,3468,29742,1
4.12,7.5,2.62,24,0.55,1.57,9626,3110,3396,1204,8470,1
3.33,9.0,3.67,9,0.382,0.82,31938,9420,8305,3515,30470,1
4.54,8.23,2.23,39,0.551,2.03,15417,4623,4015,1858,11882,1
5.87,11.26,5.35,93,0.521,1.1,20309,7532,6610,4237,23876,1
2.0,4.5,2.75,12,0.444,0.73,21237,7788,7986,4226,19964,1
12.0,20.0,4.0,3,0.6,3.0,13968,5330,4247,2078,11583,1
6.42,11.25,2.5,36,0.57,2.57,18607,6341,6078,2900,15278,1
4.33,7.0,2.0,9,0.619,2.17,58724,15437,13982,5086,41585,1
5.0,10.5,2.5,6,0.47600000000000003,2.0,22708,12096,11478,5469,23732,1
7.0,12.5,3.5,12,0.56,2.0,24702,8300,8993,4377,24776,1
5.0,9.0,2.0,3,0.556,2.5,13968,5330,4247,2078,11583,1
3.95,7.05,3.27,66,0.561,1.21,7125,2262,2162,1281,6345,1
5.6,8.4,3.6,30,0.667,1.56,13164,2715,1531,767,7326,1
6.17,9.25,4.0,36,0.667,1.54,26201,7286,6435,3043,22700,1
3.0,5.0,3.14,21,0.6,0.95,9201,3000,3456,1526,8548,1
3.77,7.34,3.26,246,0.513,1.16,7125,2262,2162,1281,6345,1
5.17,9.5,3.28,54,0.544,1.58,31285,6855,5510,2556,21656,1
7.8,11.6,2.0,30,0.672,3.9,7487,3081,2447,1408,5703,1
4.5,8.25,3.5,12,0.545,4.0,31617,9619,8627,3499,21539,1
5.33,9.33,4.0,9,0.5710000000000001,1.33,23773,8523,7464,3781,26779,1
4.75,7.25,3.25,8,0.655,1.46,493,113,54,50,216,1
6.5,11.17,4.33,18,0.5820000000000001,1.5,1012,204,124,107,816,1
2.0,5.0,3.2,10,0.4,0.62,324,103,41,39,220,1
5.0,8.78,2.33,27,0.57,2.14,2350,945,920,512,1995,1
3.0,6.5,3.0,6,0.462,1.0,30696,11856,11264,4404,27440,1
5.94,10.19,3.62,48,0.583,1.64,14775,5396,5365,2894,13098,1
4.79,7.21,2.79,42,0.6629999999999999,1.72,43715,12929,10089,4167,31320,1
5.53,9.6,3.0,45,0.5760000000000001,1.84,4150,1063,831,441,3421,1
5.33,8.33,1.67,9,0.64,3.2,14841,6396,6323,2513,13886,1
