Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
4.61,8.26,3.13,69,0.5579999999999999,1.47,6061,2092,1912,1066,6498,1
7.0,11.5,2.0,6,0.609,3.5,27001,10316,11876,4975,16659,1
4.0,6.9,3.3,30,0.58,1.21,20788,7224,6104,2908,19134,1
4.0,10.0,2.0,3,0.4,2.0,2649,839,631,329,2085,1
5.0,10.0,4.4,15,0.5,1.14,15563,6885,6782,3009,14599,1
7.5,15.1,4.9,30,0.49700000000000005,1.53,16920,6508,5740,3791,12284,1
5.44,9.44,4.11,27,0.5760000000000001,1.32,16515,5923,6358,2856,13887,1
3.27,5.47,3.07,45,0.598,1.07,13127,4094,3101,2473,12484,1
4.25,7.21,2.43,168,0.589,1.75,6061,2092,1912,1066,6498,1
3.0,4.67,1.33,9,0.643,2.25,11946,4676,3917,2142,8976,1
5.73,11.45,3.64,33,0.5,1.57,10718,5262,5549,2170,8226,1
5.02,8.32,3.29,123,0.604,1.53,13359,4059,3753,1649,13069,1
10.2,19.1,6.5,30,0.534,1.57,9803,3184,2655,1320,4753,1
4.43,6.43,4.86,21,0.6890000000000001,0.91,13887,4881,4179,2592,14381,1
6.0,9.75,2.5,12,0.615,2.4,21508,4966,3640,2045,14023,1
4.6,8.1,4.0,30,0.568,1.15,1099,359,291,267,891,1
13.83,24.67,6.33,18,0.563,1.76,31638,6283,2618,1222,17955,1
4.0,7.0,2.0,3,0.5710000000000001,2.0,13017,5552,4871,1818,12568,1
2.57,4.57,1.86,21,0.562,1.38,14316,5474,5253,2239,14979,1
4.71,9.29,2.29,21,0.508,2.06,28960,9893,8855,4217,22834,1
7.14,13.0,3.14,21,0.5489999999999999,2.27,12827,4019,3690,1790,9791,1
6.86,11.81,3.89,111,0.581,1.76,18330,5133,3661,1906,13738,1
6.62,11.12,2.75,24,0.596,2.41,12206,3620,3104,1643,6497,1
10.5,18.75,6.75,12,0.56,1.56,19873,6371,5827,3452,14078,1
5.29,9.5,4.57,42,0.556,1.16,1222,297,258,171,660,1
5.0,8.8,2.2,15,0.568,2.27,16648,7277,7650,3110,14901,1
