Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
5.14,9.36,4.29,42,0.55,1.2,20451,9067,9488,4134,21669,1
4.75,8.67,3.83,36,0.5479999999999999,1.24,11880,3589,3580,1509,9125,1
1.5,3.5,0.5,6,0.429,3.0,10005,3461,3705,1561,9404,1
6.67,11.67,2.67,9,0.5710000000000001,2.5,17495,5550,5509,3481,13787,1
8.0,10.0,3.0,3,0.8,2.67,7733,3184,2959,1440,7090,1
5.22,8.37,2.68,123,0.624,1.95,13202,3906,3732,1429,9919,1
15.0,27.0,13.0,3,0.556,1.15,18720,7227,6955,2929,15298,1
3.57,7.14,2.43,21,0.5,1.47,30750,11667,11394,4628,31070,1
4.3,8.21,2.74,555,0.524,1.57,50503,13626,10327,4329,33333,1
5.5,10.0,2.5,6,0.55,2.2,6348,2168,1820,1032,4889,1
3.33,5.56,3.33,27,0.6,1.0,36850,13408,13441,8030,34379,1
4.83,8.5,2.87,138,0.568,1.68,11540,4413,3533,1478,10751,1
4.33,7.71,3.1,63,0.562,1.4,18919,8271,8704,3775,15396,1
4.11,5.44,2.33,27,0.755,1.76,15144,4080,3032,1300,10296,1
6.33,9.67,1.67,9,0.655,3.8,10153,3803,3791,2044,6703,1
10.67,14.33,5.33,9,0.7440000000000001,2.0,14129,4191,2739,2202,7789,1
