Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
4.12,9.0,2.12,24,0.4579999999999999,1.94,17363,6597,5944,3323,12886,2
4.6,8.1,4.0,30,0.568,1.15,1099,359,291,267,891,1
4.06,7.0,1.53,102,0.58,2.65,3991,1293,998,616,2195,2
5.25,10.25,4.5,12,0.512,1.17,9117,2177,2208,974,9027,3
4.88,10.38,3.88,24,0.5,0.75,10883,2813,2310,1507,9772,1
4.06,7.11,3.17,54,0.57,1.28,15486,3598,1671,859,11566,1
4.17,7.5,2.67,18,0.556,1.56,31785,10754,12063,5762,28084,3
4.0,10.0,3.0,3,0.446,0.66,15501,6159,5493,2781,12464,1
6.4,10.7,3.3,30,0.598,1.94,8207,2259,2017,1519,9069,2
4.0,12.0,5.0,3,0.3379999999999999,0.83,6339,2172,2199,1228,7017,2
15.0,32.0,10.0,9,0.469,1.5,17636,8674,7927,3321,15159,3
9.0,19.0,5.25,12,0.511,1.09,19202,5880,4916,3163,17032,3
5.31,10.25,2.81,48,0.518,1.89,14976,5954,6181,3032,15040,1
5.22,9.48,2.93,81,0.551,1.78,27908,9484,8450,4792,20628,2
5.29,8.71,4.0,21,0.607,1.32,26589,9199,9735,5104,31398,2
21.0,64.0,26.0,3,0.421,0.88,16444,5532,5211,2299,13906,2
4.97,9.09,3.0,105,0.547,1.66,32027,7722,6856,2906,26537,1
2.43,4.29,1.57,21,0.5670000000000001,1.55,11709,5135,5603,2226,13507,2
4.03,7.65,3.32,402,0.527,1.21,25815,9251,11924,4697,30925,3
5.4,9.6,2.6,30,0.562,2.08,76812,22772,27366,11578,57159,3
4.59,8.29,4.65,51,0.5529999999999999,0.99,25674,8206,7889,4194,22752,2
1.7,3.02,0.79,126,0.563,2.14,405,104,35,37,203,2
5.06,10.29,3.94,51,0.491,1.28,10776,3394,3101,1638,9465,1
5.95,10.88,4.68,123,0.547,1.27,15012,2840,1817,1637,13573,3
5.68,9.85,3.65,102,0.5760000000000001,1.56,18413,7183,7584,4122,18521,2
5.81,9.31,5.25,48,0.624,1.11,32871,11884,12298,6338,52178,3
4.0,7.75,5.5,12,0.516,0.73,41666,14466,14460,6938,45060,3
4.8,10.2,2.6,15,0.471,1.85,8146,3136,3487,1699,10043,1
5.79,10.74,3.68,57,0.539,1.57,22289,7262,7279,3500,18011,3
2.0,4.0,2.0,3,0.5,1.0,33393,11806,12269,5983,30122,2
6.1,10.81,3.71,52,0.564,1.64,484,73,4,7,232,3
4.03,7.66,2.81,96,0.527,1.43,11762,3683,3055,1252,9513,1
8.0,15.0,4.0,3,0.5329999999999999,2.0,12277,4831,4606,2847,10449,2
4.0,8.0,3.0,3,0.5,1.33,14160,5557,4997,2698,13684,1
6.15,11.77,4.0,39,0.523,1.54,31483,11305,14097,6090,33994,3
5.05,8.95,4.0,57,0.565,1.26,9290,2687,2234,1000,7114,2
6.0,9.93,2.53,45,0.604,2.37,5276,1825,1605,833,4235,1
4.14,6.71,2.93,42,0.617,1.41,4812,2031,2183,962,5009,1
5.36,9.36,3.91,66,0.573,1.37,33920,12878,11962,5751,29043,2
6.93,12.0,5.0,42,0.5770000000000001,1.39,29617,9215,9225,5346,21255,3
3.81,7.68,2.32,111,0.496,1.64,60475,14857,12875,6160,55478,3
3.0,9.33,5.0,9,0.357,0.73,8339,3442,3722,1631,8546,1
6.25,9.17,2.25,36,0.682,2.78,21883,6110,5195,2598,13850,1
4.67,7.67,1.33,9,0.609,3.5,34427,10009,9766,5896,23667,2
4.83,9.09,3.5,351,0.531,1.38,57227,18017,20327,11958,61918,3
5.77,10.75,5.42,192,0.536,1.06,35806,11871,10725,5541,38679,3
4.74,8.92,3.43,270,0.532,1.38,32929,10798,10613,4298,28155,2
4.67,7.83,2.5,54,0.596,1.87,7149,2436,1960,870,6579,1
3.96,6.64,3.32,75,0.596,1.19,34345,8281,5996,2331,29383,1
4.74,8.68,2.16,57,0.545,2.2,11701,4155,3756,2100,8857,1
4.83,8.7,2.08,120,0.555,2.33,37474,9702,7717,4474,25014,1
6.5,9.5,4.0,6,0.684,1.62,16276,5423,5970,2619,12577,1
5.0,8.44,2.69,48,0.593,1.86,31203,11932,11160,4859,27283,1
4.48,7.71,1.9,63,0.58,2.35,9929,2757,2169,1265,5919,1
4.86,8.89,3.43,84,0.546,1.42,22045,6813,6969,2917,17865,2
4.27,7.64,3.18,33,0.56,1.34,25599,7995,7124,2806,18319,2
6.86,11.71,3.86,21,0.585,1.78,5066,1300,1078,816,3937,2
13.0,24.0,6.0,3,0.542,2.17,18779,5987,4846,2832,11891,1
3.5,6.68,3.41,66,0.5379999999999999,1.17,19546,6943,6561,3520,17137,2
4.0,12.0,2.0,3,0.36,1.12,37823,10276,10440,4585,30725,2
6.07,11.32,4.25,84,0.536,1.43,13418,3495,3400,1794,12500,3
4.2,8.4,2.8,15,0.5,1.5,15610,5462,5631,2322,14562,1
2.4,3.0,0.0,15,0.8,36.0,19872,5204,4123,2388,16644,3
3.52,6.09,3.36,99,0.5770000000000001,1.05,15105,3798,2149,1378,9851,3
4.29,7.71,2.14,21,0.556,2.0,23486,9809,9910,4625,26847,2
6.5,11.17,4.33,18,0.5820000000000001,1.5,1012,204,124,107,816,1
4.61,9.29,3.03,93,0.497,1.52,10619,3283,2585,1817,6018,3
15.0,32.0,7.0,3,0.469,2.14,40594,11443,11502,4836,24343,1
6.73,10.73,3.64,33,0.627,1.85,845,255,238,145,740,2
8.5,17.12,5.75,24,0.496,1.48,26561,9001,8050,3265,24678,3
6.08,10.0,3.75,36,0.608,1.62,14749,5026,4608,2538,9732,1
4.2,7.6,2.6,15,0.5529999999999999,1.62,7539,3247,2760,1394,5653,1
17.0,37.33,9.33,9,0.455,1.82,32147,11400,11352,6375,25236,3
6.0,7.0,6.0,3,0.857,1.0,22851,9363,8677,4363,17362,1
4.91,9.0,4.64,33,0.545,1.06,22851,9363,8677,4363,17362,1
6.62,12.76,3.57,63,0.519,1.85,18373,5808,3957,2626,13778,3
7.67,11.33,3.33,9,0.6759999999999999,2.3,41867,12897,12917,7101,41384,3
3.67,9.67,2.0,9,0.379,1.83,279,64,35,41,74,1
5.47,10.2,3.73,45,0.536,1.46,20775,6531,6214,2901,19733,2
5.15,9.15,2.62,39,0.563,1.97,3275,917,765,562,2286,1
3.95,7.05,3.27,66,0.561,1.21,7125,2262,2162,1281,6345,1
5.55,10.6,4.22,489,0.523,1.31,18991,3855,3586,1781,18208,2
5.75,11.25,3.5,12,0.511,1.64,57035,15258,14724,5274,52672,2
7.5,11.0,2.5,6,0.682,3.0,85084,21015,18672,9992,61269,2
4.22,7.62,3.02,192,0.5529999999999999,1.4,24681,8735,7865,2696,22055,1
3.76,7.18,2.59,51,0.636,2.33,33623,10317,9330,4348,31358,2
5.35,9.93,4.05,387,0.539,1.32,10522,2887,3160,1267,11107,3
5.37,10.67,4.33,129,0.503,1.24,51863,13774,13877,6882,67396,3
2.0,3.0,3.0,6,0.667,0.67,30231,10462,11294,5066,30737,3
5.09,9.68,3.41,351,0.526,1.49,28210,8277,8753,3491,27663,3
4.67,7.0,3.0,9,0.667,1.56,12934,5149,5433,2220,9946,1
6.29,12.02,4.61,147,0.523,1.36,20105,4753,4877,2189,19037,3
5.37,7.37,1.59,81,0.7290000000000001,3.37,1121,379,385,209,578,3
6.7,11.1,5.8,30,0.604,1.16,42666,11641,12459,5959,47296,3
4.63,7.74,3.42,57,0.599,1.35,28641,12789,14000,5433,34277,2
5.34,9.62,4.28,96,0.555,1.25,29333,9961,12106,4488,27526,3
4.91,9.44,3.44,243,0.52,1.43,43605,11022,10640,5349,40420,3
6.5,11.5,4.5,6,0.565,1.44,2974,861,749,560,1945,1
6.4,10.6,4.3,30,0.604,1.49,52764,13534,11997,8105,39093,2
6.51,10.87,3.36,300,0.599,1.94,10135,3927,3618,1537,9183,3
5.29,9.14,3.57,21,0.578,1.48,10624,4532,4630,2125,10839,2
4.98,8.79,2.84,174,0.5670000000000001,1.75,735,178,143,65,607,2
3.0,3.0,1.0,3,1.0,3.0,783,231,203,158,745,2
4.26,7.84,3.12,327,0.5429999999999999,1.36,23486,9809,9910,4625,26847,2
8.0,12.5,3.0,6,0.64,2.67,29666,10594,9624,3646,20527,1
4.94,9.06,4.06,54,0.546,1.22,30521,11753,12667,4887,30318,3
4.59,8.94,1.65,51,0.513,2.79,8016,2756,2710,1552,7003,2
4.0,9.2,4.0,30,0.435,1.0,21748,5856,3957,1723,15723,3
2.5,5.5,2.5,6,0.455,1.0,33553,12865,13088,5839,39125,3
4.89,8.58,3.63,57,0.5710000000000001,1.35,29364,9991,10260,4708,26503,1
6.4,10.4,3.4,15,0.615,1.88,300,82,54,49,174,3
3.96,7.48,3.28,75,0.529,1.21,28177,10858,10748,4488,29101,2
6.67,10.67,3.33,9,0.625,2.0,10897,4115,4238,2268,10502,2
4.5,8.83,6.0,18,0.509,0.75,32553,10199,10170,5102,27841,2
5.0,11.0,6.0,3,0.455,0.83,20434,9013,8958,4747,18804,2
5.45,7.65,2.2,80,0.7120000000000001,2.48,801,233,233,112,585,3
