Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
8.17,13.17,6.17,18,0.62,1.32,63047,18234,17154,8194,47697,2
5.4,9.1,3.0,30,0.593,1.8,19244,7724,6770,2793,17066,2
5.8,10.1,2.8,30,0.574,2.07,927,267,267,182,794,2
5.27,9.82,3.45,33,0.537,1.53,13516,3964,3766,1426,10647,2
5.5,8.5,3.25,12,0.647,1.69,19244,7724,6770,2793,17066,2
5.07,8.14,2.64,42,0.623,1.92,9085,3993,4086,1955,6381,2
4.44,8.0,1.44,27,0.556,3.08,17309,6110,5909,3063,11805,2
6.25,10.38,2.75,24,0.602,2.27,15157,5535,5860,2041,11084,2
5.6,10.6,3.8,15,0.528,1.47,33305,9873,7443,4671,19373,2
3.17,7.67,3.83,18,0.431,0.77,16715,5896,6206,2754,18918,2
5.78,9.89,4.33,27,0.584,1.33,42517,13279,11642,6086,37875,2
4.58,7.83,3.0,36,0.585,1.53,12792,4427,4061,2484,10144,2
4.5,8.5,1.5,6,0.529,3.0,12082,5177,5325,2585,11106,2
4.59,8.94,1.65,51,0.513,2.79,8016,2756,2710,1552,7003,2
15.0,26.0,8.67,9,0.5770000000000001,1.73,19158,6513,6090,2777,14460,2
7.57,11.86,3.43,21,0.639,2.21,16498,5372,4932,2737,13899,2
2.33,6.67,3.67,9,0.3879999999999999,0.81,26745,9831,9361,5480,21995,2
3.2,6.6,4.8,45,0.485,0.67,16715,5896,6206,2754,18918,2
4.0,6.91,1.86,66,0.579,2.15,17247,6699,7256,3564,16913,2
4.4,7.4,4.6,15,0.595,0.96,16498,5372,4932,2737,13899,2
4.67,10.04,2.42,72,0.465,1.93,12082,5177,5325,2585,11106,2
4.6,8.2,4.8,15,0.561,0.96,1811,924,901,534,3079,2
3.14,5.0,1.86,21,0.629,1.69,14830,5535,5023,2815,9496,2
4.89,9.22,3.11,27,0.53,1.57,13263,4310,4411,2210,13234,2
4.29,7.5,2.07,42,0.5710000000000001,2.07,17247,6699,7256,3564,16913,2
7.0,11.0,6.0,3,0.636,1.17,13235,5581,5321,2504,14417,2
5.32,8.11,2.68,57,0.6559999999999999,1.98,2803,1036,1166,384,2520,2
5.83,9.5,3.17,18,0.614,1.84,45786,15942,16088,6409,41328,2
7.83,10.67,1.67,36,0.7340000000000001,4.7,443,92,54,58,148,2
6.5,11.0,6.5,6,0.591,1.0,8970,3474,3334,1765,11252,2
5.62,9.06,3.31,48,0.621,1.7,2803,1036,1166,384,2520,2
4.16,7.86,3.2,153,0.529,1.3,39998,15773,14778,8216,35179,2
3.73,5.27,0.73,33,0.7070000000000001,5.12,621,252,259,148,639,2
6.25,9.5,2.75,24,0.6579999999999999,2.27,25291,9842,10115,4621,20482,2
3.0,3.0,1.0,3,1.0,3.0,783,231,203,158,745,2
6.11,11.28,3.61,54,0.542,1.69,6667,2767,2725,1180,9579,2
5.0,9.0,3.8,15,0.556,1.32,19412,5375,4740,2898,16079,2
5.17,10.0,3.17,18,0.517,1.63,19412,5375,4740,2898,16079,2
10.0,17.0,2.0,3,0.588,5.0,31711,12602,15971,6716,38785,2
4.4,7.4,4.8,15,0.595,0.92,5912,2015,1772,813,4897,2
