Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
5.72,10.31,3.59,1086,0.555,1.59,32656,7220,5795,3206,27967,3
3.93,6.63,2.56,81,0.5920000000000001,1.54,696,103,14,5,338,3
4.33,6.83,2.33,18,0.634,1.86,27485,8769,8014,4838,26000,3
3.5,6.69,2.56,48,0.523,1.37,27485,8769,8014,4838,26000,3
2.75,5.5,2.5,12,0.5,1.1,27485,8769,8014,4838,26000,3
5.17,9.83,2.0,18,0.525,2.58,20622,8776,9772,4465,17738,3
4.3,8.44,3.63,81,0.509,1.18,29944,10302,8733,4458,30292,3
4.18,7.95,3.37,249,0.526,1.24,29944,10302,8733,4458,30292,3
7.67,12.67,5.33,9,0.605,1.44,17636,8674,7927,3321,15159,3
4.84,10.88,5.08,75,0.445,0.95,33301,10723,9695,6839,35892,3
4.0,9.2,4.0,30,0.435,1.0,21748,5856,3957,1723,15723,3
6.29,11.43,4.71,21,0.55,1.33,33586,11709,12517,5775,30297,3
3.09,5.94,1.71,198,0.52,1.81,19702,7006,5295,3870,14997,3
6.0,11.58,3.33,36,0.518,1.8,16838,5950,6873,3024,16575,3
15.0,32.0,10.0,9,0.469,1.5,17636,8674,7927,3321,15159,3
5.44,10.15,4.45,351,0.537,1.22,104637,30024,34527,13569,87117,3
3.82,6.0,0.87,117,0.637,4.38,38864,13389,9460,5273,19945,3
5.78,10.78,4.93,123,0.536,1.17,104637,30024,34527,13569,87117,3
6.38,12.31,3.15,26,0.519,2.02,4536,1472,2109,514,5173,3
5.59,9.72,4.45,87,0.583,1.17,48084,15519,16461,6420,43342,3
3.73,5.9,1.06,147,0.633,3.52,38864,13389,9460,5273,19945,3
6.46,12.09,4.51,195,0.534,1.43,19202,5880,4916,3163,17032,3
5.34,9.62,4.28,96,0.555,1.25,29333,9961,12106,4488,27526,3
